Nama,Singkatan,Jenis,Status,Kabupaten,Provinsi,Akreditasi,Jumlah Prodi,Persentase Kelulusan,Rentang Biaya / Semester
STAI Al-Aulia Bogor,STAI Al-Aulia Bogor,Agama,Aktif,Kab. Bogor,Prov. Jawa Barat,Baik,2,,
STAI Al-Hikmah Tuban,STAI Al-Hikmah Tuban,Agama,Alih Bentuk,Kab. Tuban,Prov. Jawa Timur,Tidak Terakreditasi,5,32.01 %,
Sekolah Tinggi Agama Islam Hikmatul Fadhillah Medan,STAI Hikmatul Fadhillah Medan,Agama,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,1,,
Sekolah Tinggi Teologi Reformed Indonesia,STT Reformed Indonesia,Agama,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,5,,
Sekolah Tinggi Teologi Rajawali Arastamar Indonesia Batam,STT Rajawali Arastamar Indonesia Batam,Agama,Aktif,Kota Batam,Prov. Kepulauan Riau,Baik,3,,Rp150.000 - 150.000
Sekolah Tinggi Teologi Katharos Indonesia Bekasi,STT Katharos Indonesia Bekasi,Agama,Aktif,Kota Bekasi,Prov. Jawa Barat,Baik,4,,Rp900.000 - 3.600.000
STAI Miftahul Ulum Tarate Pandian Sumenep,STAI Miftahul Ulum Tarate,Agama,Aktif,Kab. Sumenep,Prov. Jawa Timur,Baik,3,,
Institut Agama Islam Ar-Rohman,IAI Ar-Rohman,Agama,Aktif,Kab. Tasikmalaya,Prov. Jawa Barat,Tidak Terakreditasi,4,,
Sekolah Tinggi Teologi Imanuel Ministry El Shadday,STT Imanuel Ministry El Shadday,Agama,Aktif,Kab. Langkat,Prov. Sumatera Utara,Baik,2,,
Institut Agama Islam Rawa Aopa Konawe Selatan,IAI Rawa Aopa Konawe,Agama,Aktif,Kab. Konawe Selatan,Prov. Sulawesi Tenggara,Baik,5,18.54 %,
Sekolah Tinggi Ilmu Tarbiyah Mamba'ul Ulum Jambi,STITMUUJ,Agama,Alih Bentuk,Kota Jambi,Prov. Jambi,Baik,7,,
Sekolah Tinggi Ilmu Dakwah Sirnarasa,STIDS,Agama,Aktif,Kab. Ciamis,Prov. Jawa Barat,Baik,3,,
STAI Bhakti Persada Majalaya Bandung,STAI Bhakti Persada Majalaya,Agama,Aktif,Kab. Bandung,Prov. Jawa Barat,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Tarbiyah Al Hadi Bojonegoro,STITAHB,Agama,Aktif,Kab. Bojonegoro,Prov. Jawa Timur,Tidak Terakreditasi,2,,
Institut Agama Islam Sahid,IAI Sahid,Agama,Aktif,Kab. Bogor,Prov. Jawa Barat,Baik Sekali,9,,Rp200.000 - 12.588.625
Institut Syekh Abdul Halim Hasan Binjai,ISAHHB,Agama,Aktif,Kota Binjai,Prov. Sumatera Utara,Terakreditasi,7,,Rp460.000 - 3.150.000
Sekolah Tinggi Agama Islam Darud Da'wah wal Irsyad Pangkajene Sidenreng Rappang,STAI Darud Da'wah wal Irsyad,Agama,Alih Bentuk,Kab. Sidenreng Rappang,Prov. Sulawesi Selatan,Tidak Terakreditasi,6,,
"STAI An-Nadwah Kuala Tungkal, Jambi",STAI An-Nadwah Kuala Tungkal,Agama,Aktif,Kab. Tanjung Jabung Barat,Prov. Jambi,Baik,7,,Rp4.500.000 - 4.500.000
STAI Sultan Abdurrahman Kepulauan Riau,STAI Sultan Abdurrahman,Agama,Alih Bentuk,Kota Tanjungpinang,Prov. Kepulauan Riau,Tidak Terakreditasi,4,,
STAIN Jember,STAIN Jember,Agama,Alih Bentuk,Kab. Jember,Prov. Jawa Timur,Tidak Terakreditasi,34,,
Institut Agama Islam Bunga Bangsa Cirebon,IAI Bunga Bangsa Cirebon,Agama,Alih Bentuk,Kab. Cirebon,Prov. Jawa Barat,Tidak Terakreditasi,10,33.05 %,
Institut Muslim Cendekia,IMC,Agama,Aktif,Kab. Sukabumi,Prov. Jawa Barat,Tidak Terakreditasi,6,37.63 %,
Sekolah Tinggi Teologi Suwarnadwipa Medan,STT Suwarnadwipa Medan,Agama,Aktif,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,1,,
Universitas Ma'arif Lampung,UMAL,Agama,Aktif,Kota Metro,Prov. Lampung,Terakreditasi,15,45.70 %,Rp3.500.000 - 3.500.000
Sekolah Tinggi Ilmu Tarbiyah Mamba'ul Hikam Pali Sumsel,STITMUHPS,Agama,Aktif,Kab. Penukal Abab Lematang Ilir,Prov. Sumatera Selatan,Baik,1,,Rp1.000.000 - 1.950.000
STAK Wiyata Wacana Pati,STAK Wiyata Wacana Pati,Agama,Aktif,Kab. Pati,Prov. Jawa Tengah,Baik,2,61.35 %,Rp3.220.000 - 4.840.000
"STAI Pelabuhan Ratu, Sukabumi",STAI Pelabuhan Ratu Sukabumi,Agama,Aktif,Kab. Sukabumi,Prov. Jawa Barat,Tidak Terakreditasi,3,,
Sekolah Tinggi Ekonomi Syariah Tunas Palapa Lampung Tengah,STESTPLT,Agama,Aktif,Kab. Tulang Bawang Barat,Prov. Lampung,Tidak Terakreditasi,4,,Rp2.000.000 - 2.000.000
Universitas Syekh Maulana Qori,USMQ,Agama,Aktif,Kab. Merangin,Prov. Jambi,Tidak Terakreditasi,8,,
STIU Al-Mujtama Pamekasan,STIU Al-Mujtama Pamekasan,Agama,Alih Bentuk,Kab. Pamekasan,Prov. Jawa Timur,Tidak Terakreditasi,1,,
Universitas Islam Al-Aziziyah Indonesia,UIAAI,Agama,Aktif,Kab. Bireuen,Prov. Aceh,Baik Sekali,9,,
Sekolah Tinggi Teologi Anugerah Misi Nias Barat,STT Anugerah Misi Nias,Agama,Aktif,Kab. Nias Barat,Prov. Sumatera Utara,Baik,4,13.21 %,Rp1.000.000 - 2.400.000
Sekolah Tinggi Agama Islam Darul Amanah Sukorejo Kendal,STAI Darul Amanah Sukorejo Kendal,Agama,Aktif,Kab. Kendal,Prov. Jawa Tengah,Tidak Terakreditasi,2,,
STAK Oikumene Noseni Biak Numfor,STAK Oikumene Noseni Biak,Agama,Aktif,Tidak Diisi,Prov. Papua,Tidak Terakreditasi,1,,
STIT Muhammadiyah Pacitan,STIT Muhammadiyah Pacitan,Agama,Alih Bentuk,Kab. Pacitan,Prov. Jawa Timur,Tidak Terakreditasi,6,,
STAI Ahsanta Jambi,STAI Ahsanta,Agama,Alih Bentuk,Kota Jambi,Prov. Jambi,Tidak Terakreditasi,7,,
Sekolah Tinggi Ilmu Al-Qur'an Al-Lathifiyyah Palembang Sumatera Selatan,STIAQAALPSS,Agama,Aktif,Kota Palembang,Prov. Sumatera Selatan,Baik Sekali,2,,
Institut Agama Islam Negeri Langsa,IAIN Langsa,Agama,Aktif,Kota Langsa,Prov. Aceh,Baik Sekali,27,,Rp400.000 - 3.750.000
Sekolah Tinggi Agama Kristen Oikumene Timika,STAK Oikumene Timika,Agama,Aktif,Kab. Mimika,Prov. Papua,Baik,1,,
STAI Hasan Jufri Bawean,STAI Hasan Jufri Bawean,Agama,Alih Bentuk,Kab. Gresik,Prov. Jawa Timur,Baik,6,,
Sekolah Tinggi Agama Hindu Dharma Sentana Sulawesi Tengah,STAH Dharma Sentana,Agama,Aktif,Kota Palu,Prov. Sulawesi Tengah,Baik Sekali,5,,Rp1.255.000 - 1.255.000
Sekolah Tinggi Islam Sunniyyah Selo Grobogan,STISSG,Agama,Aktif,Kab. Grobogan,Prov. Jawa Tengah,Baik,2,,Rp1.500.000 - 1.800.000
STIT Insan Kamil Bogor Jawa Barat,STIT Insan Kamil Bogor,Agama,Aktif,Kota Bogor,Prov. Jawa Barat,Baik,3,,Rp1.800.000 - 2.100.000
Institut Agama Islam Muhammadiyah Bima,IAI Muhammadiyah Bima,Agama,Alih Bentuk,Kota Bima,Prov. Nusa Tenggara Barat,Tidak Terakreditasi,8,,
STT Advent Papua,STT Advent,Agama,Aktif,Kab. Jayapura,Prov. Papua,Baik,2,3.89 %,
Sekolah Tinggi Teologi Pelita Kebenaran,STT Pelita Kebenaran,Agama,Aktif,Kab. Deli Serdang,Prov. Sumatera Utara,Baik,11,,Rp2.500.000 - 2.500.000
"STAI Darul Ma`arif, Cipete Jakarta Selatan",STAI Darul Ma`arif Cipete,Agama,Tutup,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,,
Sekolah Tinggi Teologi Germita,STT Germita,Agama,Aktif,Kab. Kepulauan Talaud,Prov. Sulawesi Utara,Tidak Terakreditasi,1,,
Institut Agama Islam Imam Ghozali (IAIIG) Cilacap,IAI Imam Ghozali IAIIG Cilacap,Agama,Aktif,Kab. Cilacap,Prov. Jawa Tengah,Baik,7,71.12 %,
Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan,UIN KH Abdurrahman Wahid Pekalongan,Agama,Aktif,Kota Pekalongan,Prov. Jawa Tengah,Unggul,34,,Rp200.000 - 7.500.000
"STAI Nahdlatul Ulama (STAINU), Temanggung, Jawa Tengah",STAI Nahdlatul Ulama STAINU,Agama,Aktif,Kab. Temanggung,Prov. Jawa Tengah,Baik,6,,
STIT Sunan Giri Trenggalek,STIT Sunan Giri Trenggalek,Agama,Alih Bentuk,Kab. Trenggalek,Prov. Jawa Timur,Tidak Terakreditasi,4,,Rp600.000 - 2.400.000
Sekolah Tinggi Hindu Dharma Klaten Jawa Tengah,STHDKJT,Agama,Alih Bentuk,Kab. Klaten,Prov. Jawa Tengah,Baik Sekali,8,,
Sekolah Tinggi Teologi Injili Efrata Sidoarjo,STT Injili Efrata Sidoarjo,Agama,Aktif,Kab. Sidoarjo,Prov. Jawa Timur,Baik,3,,Rp900.000 - 900.000
Sekolah Tinggi Ilmu Ekonomi Syari'ah Alifa Pringsewu Lampung,STIE Syari'ah Alifa Pringsewu,Agama,Aktif,Kab. Pringsewu,Prov. Lampung,Baik,4,,Rp2.200.000 - 2.500.000
Institut Agama Islam Nahdlatul Ulama Tuban,IAI Nahdlatul Ulama Tuban,Agama,Aktif,Kab. Tuban,Prov. Jawa Timur,Terakreditasi,8,,Rp2.500.000 - 2.500.000
Sekolah Tinggi Ekonomi dan Bisnis Islam Yayasan Pelita Ilmu Insani,STEBIYPII,Agama,Aktif,Kab. Bekasi,Prov. Jawa Barat,Baik,2,,Rp3.500.000 - 3.500.000
"STAI DDI Pangkep, Sulawesi Selatan",STAI DDI Pangkep,Agama,Aktif,Kab. Pangkajene Kepulauan,Prov. Sulawesi Selatan,Terakreditasi,7,,Rp1.000.000 - 1.500.000
Sekolah Tinggi Agama Islam Ar-Risalah Sumatera Barat,STAI Ar-Risalah,Agama,Aktif,Kota Padang,Prov. Sumatera Barat,Baik,5,,Rp1.500.000 - 2.000.000
STAI Almuslim Bireun,STAI Almuslim Bireun,Agama,Alih Bentuk,Kab. Bireuen,Prov. Aceh,Tidak Terakreditasi,6,,
Institut Agama Islam Persis Bandung,IAI Persis Bandung,Agama,Aktif,Kab. Bandung,Prov. Jawa Barat,Tidak Terakreditasi,7,,Rp200.000 - 4.950.000
Institut Agama Kristen Negeri Palangka Raya,IAKN Palangka,Agama,Aktif,Kota Palangka Raya,Prov. Kalimantan Tengah,Baik Sekali,20,,Rp750.000 - 3.750.000
Sekolah Tinggi Agama Islam Darul Huda Ogan Komering Ulu Timur,STAI Darul Huda Ogan Komering,Agama,Aktif,Kab. Ogan Komering Ulu Timur,Prov. Sumatera Selatan,Tidak Terakreditasi,2,,
IAIN Syekh Nurjati Cirebon,IAIN Syekh Nurjati Cirebon,Agama,Alih Bentuk,Kota Cirebon,Prov. Jawa Barat,B,44,,Rp400.000 - 6.600.000
Sekolah Tinggi Teologi Global Glow Indonesia Jakarta,STT Global Glow Indonesia,Agama,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Baik,6,36.33 %,
STIT Al-Marhalah Al-`Ulya Bekasi,STIT Al-Marhalah Al-`Ulya Bekasi,Agama,Alih Bentuk,Kota Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,4,,
Sekolah Tinggi Teologi Magelang,STT Magelang,Agama,Aktif,Kab. Magelang,Prov. Jawa Tengah,Tidak Terakreditasi,4,,
Universitas Al-Hikmah Indonesia,UAHI,Agama,Aktif,Kab. Tuban,Prov. Jawa Timur,Baik,8,20.54 %,Rp180.000 - 14.830.000
STAIN Pekalongan,STAIN Pekalongan,Agama,Alih Bentuk,Kota Pekalongan,Prov. Jawa Tengah,Tidak Terakreditasi,20,,
Institut Agama Islam Agus Salim Metro Lampung,IAI Agus Salim Metro,Agama,Alih Bentuk,Kota Metro,Prov. Lampung,Tidak Terakreditasi,7,,Rp2.500.000 - 2.500.000
STID Mohammad Natsir Bekasi,STID Mohammad Natsir Bekasi,Agama,Aktif,Kab. Bekasi,Prov. Jawa Barat,Baik,2,,
Institut Agama Islam Al-Urwatul Wutsqo Jombang,IAI Al-Urwatul Wutsqo Jombang,Agama,Aktif,Kab. Jombang,Prov. Jawa Timur,Tidak Terakreditasi,7,,
Sekolah Tinggi Pastoral Reinha Larantuka,STPRL,Agama,Aktif,Kab. Flores Timur,Prov. Nusa Tenggara Timur,Baik Sekali,2,,Rp2.500.000 - 2.500.000
"Sekolah Tinggi Ekonomi Islam Masyarakat Madani, Pamekasan Jawa Timur",STEIMMPJT,Agama,Aktif,Kab. Pamekasan,Prov. Jawa Timur,Baik,2,,Rp700.000 - 700.000
Institut Agama Islam Yasni Bungo,IAI Yasni Bungo,Agama,Aktif,Kab. Bungo,Prov. Jambi,Baik,8,,Rp2.500.000 - 2.500.000
Sekolah Tinggi Teologi Kadesi Bogor,STT Kadesi Bogor,Agama,Aktif,Kab. Bogor,Prov. Jawa Barat,Baik,5,,
Universitas Syeikh Nawawi Banten,USNB,Agama,Aktif,Kab. Serang,Prov. Banten,Tidak Terakreditasi,10,,
Institut KH. Badruzzaman,IKB,Agama,Aktif,Kab. Garut,Prov. Jawa Barat,Tidak Terakreditasi,5,25.30 %,
Sekolah Tinggi Agama Islam Kupang,STAI Kupang,Agama,Aktif,Kota Kupang,Prov. Nusa Tenggara Timur,Baik,4,,Rp1.500.000 - 1.500.000
Institut Agama Islam Negeri Syaikh Abdurrahman Siddik Bangka Belitung,IAIN Syaikh Abdurrahman Siddik,Agama,Aktif,Kab. Bangka,Prov. Bangka Belitung,Baik Sekali,18,,Rp400.000 - 1.700.000
STAI Tasikmalaya,STAI Tasikmalaya,Agama,Alih Bentuk,Kota Tasikmalaya,Prov. Jawa Barat,Tidak Terakreditasi,8,,
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,UIN Sulthan Thaha Saifuddin,Agama,Aktif,Kota Jambi,Prov. Jambi,Unggul,57,,Rp1.800.000 - 5.000.000
Universitas Pangeran Diponegoro Nganjuk,UPDN,Agama,Aktif,Kab. Nganjuk,Prov. Jawa Timur,Baik,12,70.59 %,Rp1.000.000 - 2.500.000
STIT Ad-Da`wah Rangkasbitung,STIT Ad-Da`wah Rangkasbitung,Agama,Aktif,Kab. Lebak,Prov. Banten,Baik,1,,Rp1.300.000 - 1.300.000
Sekolah Tinggi Teologi Inti Bandung,STT Inti Bandung,Agama,Aktif,Kota Bandung,Prov. Jawa Barat,Baik,2,,Rp1.900.000 - 3.250.000
Universitas Islam Negeri Raden Intan Lampung,UIN Raden Intan,Agama,Aktif,Kota Bandar Lampung,Prov. Lampung,Unggul,50,,Rp7.500.000 - 7.500.000
STT Krisba Batam,STT Krisba Batam,Agama,Aktif,Kota Batam,Prov. Kepulauan Riau,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Syariah (STIS) Al-Aziziyah Sabang,STISSAAS,Agama,Aktif,Kota Sabang,Prov. Aceh,Terakreditasi,2,,
Sekolah Tinggi Ilmu Ekonomi Syariah Serambi Mekkah Aceh Jaya,STIE Syariah Serambi Mekkah Aceh,Agama,Aktif,Kab. Aceh Jaya,Prov. Aceh,Tidak Terakreditasi,1,,
STAI Darul Kamal NW Kembang Kerang NTB,STAI Darul Kamal NW,Agama,Aktif,Kab. Lombok Timur,Prov. Nusa Tenggara Barat,Terakreditasi,3,,Rp850.000 - 850.000
Sekolah Tinggi Agama Islam Darussalam Bangkalan,STAI Darussalam Bangkalan,Agama,Aktif,Kab. Bangkalan,Prov. Jawa Timur,Tidak Terakreditasi,4,,
STAI Tafaqquhfiddin Dumai,STAI Tafaqquhfiddin Dumai,Agama,Aktif,Kota Dumai,Prov. Riau,Tidak Terakreditasi,5,,
Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi,UIN Sjech M Djamil Djambek,Agama,Aktif,Kab. Agam,Prov. Sumatera Barat,Unggul,39,,Rp200.000 - 5.500.000
STAI Syarifuddin (STAIS) Lumajang Jawa Timur,STAI Syarifuddin STAIS Lumajang,Agama,Alih Bentuk,Kab. Lumajang,Prov. Jawa Timur,Tidak Terakreditasi,6,,
Universitas Islam Negeri Sumatera Utara Medan,UIN Sumatera Utara Medan,Agama,Aktif,Kota Medan,Prov. Sumatera Utara,Unggul,74,,Rp400.000 - 9.000.000
"STAI Tapanuli (STAITA) Padangsidempuan, Sumatera Utara",STAI Tapanuli STAITA Padangsidempuan,Agama,Aktif,Kab. Tapanuli Selatan,Prov. Sumatera Utara,Baik,2,,Rp750.000 - 750.000
STAIN Sjech M. Djamil Djambek Bukittinggi,STAIN Sjech M Djamil,Agama,Alih Bentuk,Kota Bukittinggi,Prov. Sumatera Barat,Tidak Terakreditasi,23,,
Sekolah Tinggi Teologi Mawar Saron Lampung,STT Mawar Saron,Agama,Aktif,Kab. Tulang Bawang,Prov. Lampung,Baik,1,,
IAIN Purwokerto,IAIN Purwokerto,Agama,Alih Bentuk,Kab. Banyumas,Prov. Jawa Tengah,Tidak Terakreditasi,31,,
Institut Pesantren KH. Abdul Chalim Pacet Mojokerto,IPKACPM,Agama,Alih Bentuk,Kab. Mojokerto,Prov. Jawa Timur,Baik,14,57.75 %,
Sekolah Tinggi Teologi Musafir Kupang,STT Musafir Kupang,Agama,Aktif,Kota Kupang,Prov. Nusa Tenggara Timur,Tidak Terakreditasi,1,,
Sekolah Tinggi Teologi Pantekosta Jakarta,STT Pantekosta,Agama,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik Sekali,2,,Rp2.500.000 - 2.500.000
Institut Agama Islam Az-Zaytun Indonesia,IAI Az-Zaytun Indonesia,Agama,Aktif,Kab. Indramayu,Prov. Jawa Barat,Baik,6,,Rp1.812.500 - 3.850.000
STAI KH Abdul Kabier,STAI KH Abdul Kabier,Agama,Aktif,Kab. Serang,Prov. Banten,Tidak Terakreditasi,3,,
Sekolah Tinggi Ilmu Tarbiyah Tunas Bangsa Banjarnegara Jawa Tengah,STITTBBJT,Agama,Aktif,Kab. Banjarnegara,Prov. Jawa Tengah,Baik,2,,Rp2.400.000 - 2.400.000
Institut Agama Islam Nusantara Batang Hari,IAI Nusantara Batang Hari,Agama,Alih Bentuk,Kab. Batang Hari,Prov. Jambi,Baik,8,51.62 %,
Institut Agama Islam Ibrahimy (IAII) Sukorejo Situbondo,IAI Ibrahimy IAII Sukorejo Situbondo,Agama,Aktif,Kab. Situbondo,Prov. Jawa Timur,Tidak Terakreditasi,14,16.61 %,
"STAI YPK Imam Bonjol Padang Panjang, Sumatera Barat",STAI YPK Imam Bonjol,Agama,Aktif,Kota Padang Panjang,Prov. Sumatera Barat,Baik,2,,Rp500.000 - 500.000
STIBA Ar Raayah,STIBA Ar Raayah,Agama,Alih Bentuk,Kab. Sukabumi,Prov. Jawa Barat,Tidak Terakreditasi,5,39.91 %,Rp3.400.000 - 13.000.000
STAI Madinatul Ilmi Depok,STAI Madinatul Ilmi Depok,Agama,Aktif,Kota Depok,Prov. Jawa Barat,Tidak Terakreditasi,3,,Rp225.000 - 2.250.000
Sekolah Tinggi Teologi Presbyterian Batam,STT Presbyterian Batam,Agama,Aktif,Tidak Diisi,Prov. Kepulauan Riau,Baik,1,,
STID Al-Hadid Surabaya,STID Al-Hadid Surabaya,Agama,Aktif,Kota Surabaya,Prov. Jawa Timur,Baik,3,,
Institut Nurul Islam Mojokerto,INIM,Agama,Aktif,Kab. Mojokerto,Prov. Jawa Timur,Tidak Terakreditasi,5,,
Sekolah Tinggi Agama Islam Indonesia Jakarta,STAI Indonesia,Agama,Aktif,Tidak Diisi,Prov. D.K.I. Jakarta,Tidak Terakreditasi,4,,
Sekolah Tinggi Ekonomi Islam Ar-Rofi`iyyah,STEIARI,Agama,Aktif,Kab. Probolinggo,Prov. Jawa Timur,Tidak Terakreditasi,2,35.42 %,
STAI Diponegoro Tulungagung,STAI Diponegoro Tulungagung,Agama,Aktif,Kab. Tulungagung,Prov. Jawa Timur,Baik Sekali,4,,Rp1.000.000 - 2.000.000
Sekolah Tinggi Ilmu Tarbiyah Tanggamus,STITT,Agama,Aktif,Kab. Tenggamus,Prov. Lampung,Baik,5,36.16 %,
Institut Agama Islam Khozinatul Ulum Blora,IAI Khozinatul Ulum Blora,Agama,Aktif,Kab. Blora,Prov. Jawa Tengah,Terakreditasi,8,,
STIS Darul Falah Pagutan Mataram NTB,STIS Darul Falah Pagutan,Agama,Aktif,Kota Mataram,Prov. Nusa Tenggara Barat,Baik,4,,
STAIN Teungku Dirundeng Meulaboh,STAIN Teungku Dirundeng Meulaboh,Agama,Aktif,Kab. Aceh Barat,Prov. Aceh,Baik Sekali,15,,
Sekolah Tinggi Ilmu Tarbiyah Hidayatullah Samarinda,STITHS,Agama,Aktif,Kota Samarinda,Prov. Kalimantan Timur,Tidak Terakreditasi,1,,
Sekolah Tinggi Ilmu Ekonomi Syariah Putera Bangsa Tegal Jawa Tengah,STIE Syariah Putera Bangsa Tegal,Agama,Aktif,Kab. Tegal,Prov. Jawa Tengah,Baik,4,,Rp100.000 - 4.600.000
Sekolah Tinggi Ekonomi Dan Bisnis Islam Darussalam Ogan Komering Ilir Sumsel,STEBIDOKIS,Agama,Aktif,Kab. Ogan Komering Ilir,Prov. Sumatera Selatan,Baik,2,,
Sekolah Tinggi Teologi Kalvari Maluku Utara,STT Kalvari,Agama,Aktif,Tidak Diisi,Prov. Maluku Utara,Tidak Terakreditasi,2,,
Sekolah Tinggi Agama Kristen Imanuel Bitung,STAK Imanuel Bitung,Agama,Aktif,Kota Bitung,Prov. Sulawesi Utara,Tidak Terakreditasi,1,,Rp1.500.000 - 1.500.000
IAIN Tulungagung,IAIN Tulungagung,Agama,Alih Bentuk,Kab. Tulungagung,Prov. Jawa Timur,Tidak Terakreditasi,49,,
Sekolah Tinggi Teologi Injili Arastamar Tapanuli (STT Siarnauli),STT Siarnauli,Agama,Aktif,Kab. Tapanuli Tengah,Prov. Sumatera Utara,Baik,3,,Rp1.000.000 - 1.000.000
Sekolah Tinggi Teologi Syalom Bandar Lampung,STT Syalom Bandar,Agama,Aktif,Kota Bandar Lampung,Prov. Lampung,Baik,5,50.97 %,Rp3.000.000 - 7.000.000
Sekolah Tinggi Agama Islam Jannatul Firdaus,STAI Jannatul Firdaus,Agama,Aktif,Kab. Sabussalam,Prov. Aceh,Tidak Terakreditasi,4,,
STT ARASTAMAR WAMENA,STT ARASTAMAR WAMENA,Agama,Aktif,Kab. Jayawijaya,Prov. Papua,Baik,7,,Rp2.500.000 - 2.500.000
STIT Ibnu Rusyd Kota Bumi Lampung Utara,STIT Ibnu Rusyd Kota,Agama,Alih Bentuk,Kab. Lampung Utara,Prov. Lampung,Tidak Terakreditasi,4,,
STT Rhema Salatiga,STT Rhema Salatiga,Agama,Aktif,Kota Salatiga,Prov. Jawa Tengah,Tidak Terakreditasi,1,,
IAIN Raden Fatah Palembang,IAIN Raden Fatah Palembang,Agama,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,48,,
Sekolah Tinggi Ilmu Tarbiyah K.H. Masbuhin Faqih,STITKHMF,Agama,Aktif,Kab. Bojonegoro,Prov. Jawa Timur,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Dakwah dan Komunikasi Al-Hamidy Pamekasan,STIDKAHP,Agama,Aktif,Kab. Pamekasan,Prov. Jawa Timur,Baik,1,,Rp1.500.000 - 1.500.000
Sekolah Tinggi Pesantren Darunna'im Lebak Banten,STPDILB,Agama,Aktif,Kab. Lebak,Prov. Banten,Baik,2,,Rp1.000.000 - 1.000.000
Institut Darul Qur`an Payakumbuh,IDQAP,Agama,Aktif,Kota Payakumbuh,Prov. Sumatera Barat,Baik Sekali,4,,Rp1.000.000 - 1.500.000
Sekolah Tinggi Agama Kristen Terpadu Pesat Salatiga,STAK Terpadu Pesat Salatiga,Agama,Aktif,Kab. Semarang,Prov. Jawa Tengah,Baik,3,,Rp9.000.000 - 9.000.000
Institut Agama Islam Badrus Sholeh,IAI Badrus Sholeh,Agama,Aktif,Kab. Kediri,Prov. Jawa Timur,Baik,6,,Rp1.000.000 - 4.200.000
"STIS Syarif Abdurrahman Pontianak, Kalimantan Barat",STIS Syarif Abdurrahman Pontianak,Agama,Aktif,Kota Pontianak,Prov. Kalimantan Barat,Baik,1,,
STIT Bustanul `Ulum Lampung Tengah,STIT Bustanul `Ulum,Agama,Aktif,Kab. Lampung Tengah,Prov. Lampung,Baik Sekali,4,,Rp800.000 - 2.650.000
Sekolah Tinggi Teologi Marturia Tanjung Balai,STT Marturia Tanjung Balai,Agama,Alih Bentuk,Kota Tanjung Balai,Prov. Sumatera Utara,Tidak Terakreditasi,4,,
STT Biblika Jakarta,STT Biblika,Agama,Aktif,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Tidak Terakreditasi,2,23.03 %,
STIT YPI Lahat,STIT YPI Lahat,Agama,Aktif,Kab. Lahat,Prov. Sumatera Selatan,Baik,2,,Rp2.500.000 - 2.500.000
Sekolah Tinggi Teologi Kadesi Yogyakarta,STT Kadesi,Agama,Aktif,Kab. Sleman,Prov. D.I. Yogyakarta,B,5,,
Sekolah Tinggi Agama Islam Senori Tuban,STAI Senori Tuban,Agama,Aktif,Kab. Tuban,Prov. Jawa Timur,Baik,4,,Rp1.800.000 - 1.800.000
Sekolah Tinggi Teologi Bethel Nusantara,STT Bethel Nusantara,Agama,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,,
STAI Al-Musaddadiyah Garut,STAI Al-Musaddadiyah Garut,Agama,Aktif,Kab. Garut,Prov. Jawa Barat,Baik Sekali,6,,Rp50.000 - 2.500.000
STAI Al-Ihya Kuningan,STAI Al-Ihya Kuningan,Agama,Alih Bentuk,Kab. Kuningan,Prov. Jawa Barat,Tidak Terakreditasi,5,,
"STAI Miftahul Ula Nglawak Kertosono, Nganjuk",STAI Miftahul Ula Nglawak,Agama,Aktif,Kab. Nganjuk,Prov. Jawa Timur,Baik,4,,
"STIT Iqra` Kapuas Hulu, Kalimantan Barat",STIT Iqra` Kapuas Hulu,Agama,Aktif,Kab. Kapuas Hulu,Prov. Kalimantan Barat,Baik,1,,Rp2.500.000 - 2.500.000
Sekolah Tinggi Teologi Pantekosta Poso,STT Pantekosta Poso,Agama,Aktif,Kab. Poso,Prov. Sulawesi Tengah,Baik,1,,Rp500.000 - 500.000
Sekolah Tinggi Teologi Ekumene Medan,STT Ekumene Medan,Agama,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,2,,
Sekolah Tinggi Teologi Sumatera Medan,STT Sumatera Medan,Agama,Aktif,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,2,52.22 %,
Institut Agama Kristen Negeri Ambon,IAKN Ambon,Agama,Aktif,Kota Ambon,Prov. Maluku,B,21,,Rp6.000.000 - 6.000.000
STAI Miftahul Ulum Pamekasan,STAI Miftahul Ulum Pamekasan,Agama,Alih Bentuk,Kab. Pamekasan,Prov. Jawa Timur,Tidak Terakreditasi,6,,
